nearest_places_id,post_id,place_id
302,76,ChIJfx2I8vaipBIR2bIdtf-roQE
303,76,ChIJLcC0-PSipBIRdHiFCj_ewdY
304,76,ChIJ0V6MrPWipBIRKnssXv0o_Y4
305,77,ChIJN4zPLvSipBIRnANNEEwB15Q
306,77,ChIJfx2I8vaipBIR2bIdtf-roQE
307,77,ChIJLcC0-PSipBIRdHiFCj_ewdY
308,77,ChIJ0V6MrPWipBIRKnssXv0o_Y4
309,78,ChIJeYwrA_uipBIRtLLknGLSRQA
310,78,ChIJNbGKpPyipBIRWOE2AiC82hc
311,78,ChIJH1jdYvmipBIRlOn_x70XWx0
312,78,ChIJC6CEtf2ipBIRkFQaF95uL1Q
313,79,ChIJeYwrA_uipBIRtLLknGLSRQA
314,79,ChIJNbGKpPyipBIRWOE2AiC82hc
315,79,ChIJH1jdYvmipBIRlOn_x70XWx0
316,79,ChIJC6CEtf2ipBIRkFQaF95uL1Q
317,80,ChIJeYwrA_uipBIRtLLknGLSRQA
318,80,ChIJNbGKpPyipBIRWOE2AiC82hc
319,80,ChIJH1jdYvmipBIRlOn_x70XWx0
320,80,ChIJC6CEtf2ipBIRkFQaF95uL1Q
321,81,ChIJeYwrA_uipBIRtLLknGLSRQA
322,81,ChIJNbGKpPyipBIRWOE2AiC82hc
323,81,ChIJH1jdYvmipBIRlOn_x70XWx0
324,81,ChIJC6CEtf2ipBIRkFQaF95uL1Q
325,82,ChIJeYwrA_uipBIRtLLknGLSRQA
326,82,ChIJNbGKpPyipBIRWOE2AiC82hc
327,82,ChIJH1jdYvmipBIRlOn_x70XWx0
328,82,ChIJC6CEtf2ipBIRkFQaF95uL1Q
329,83,ChIJ4eD9ztyipBIR_g1BtyluWPM
330,83,ChIJ12d3ZlmYpBIRStDXELkkdJE
331,83,ChIJdWd8mMSjpBIRlU7wI7x356s
332,83,ChIJD68YoJWipBIRWzQhzWcsALI
333,84,ChIJm0a9ZICipBIR7ZTc9Z5nhRs
334,84,ChIJ94t14n2ipBIRNa_yg2jxglU
335,84,ChIJbUoOOHiYpBIRX1PEvAqGZP4
336,84,ChIJiw6Np4eipBIRx85T7fm-Dr0
337,85,ChIJdWd8mMSjpBIRlU7wI7x356s
338,85,ChIJbf9sA-yipBIRBsaWQtiGMLs
339,85,ChIJ12d3ZlmYpBIRStDXELkkdJE
340,85,ChIJD68YoJWipBIRWzQhzWcsALI
341,86,ChIJ12d3ZlmYpBIRStDXELkkdJE
342,86,ChIJNbGKpPyipBIRWOE2AiC82hc
343,86,ChIJC6CEtf2ipBIRkFQaF95uL1Q
344,86,ChIJeYwrA_uipBIRtLLknGLSRQA
345,87,ChIJ12d3ZlmYpBIRStDXELkkdJE
346,87,ChIJNbGKpPyipBIRWOE2AiC82hc
347,87,ChIJC6CEtf2ipBIRkFQaF95uL1Q
348,87,ChIJeYwrA_uipBIRtLLknGLSRQA
349,88,ChIJ1eGKmZOipBIRah43T2Kjn8Q
350,88,ChIJD68YoJWipBIRWzQhzWcsALI
351,88,ChIJdWd8mMSjpBIRlU7wI7x356s
352,88,ChIJbf9sA-yipBIRBsaWQtiGMLs
353,89,ChIJ1eGKmZOipBIRah43T2Kjn8Q
354,89,ChIJD68YoJWipBIRWzQhzWcsALI
355,89,ChIJdWd8mMSjpBIRlU7wI7x356s
356,89,ChIJbf9sA-yipBIRBsaWQtiGMLs
357,90,ChIJ1eGKmZOipBIRah43T2Kjn8Q
358,90,ChIJD68YoJWipBIRWzQhzWcsALI
359,90,ChIJdWd8mMSjpBIRlU7wI7x356s
360,90,ChIJbf9sA-yipBIRBsaWQtiGMLs
361,91,ChIJ1eGKmZOipBIRah43T2Kjn8Q
362,91,ChIJD68YoJWipBIRWzQhzWcsALI
363,91,ChIJdWd8mMSjpBIRlU7wI7x356s
364,91,ChIJbf9sA-yipBIRBsaWQtiGMLs
365,92,ChIJ1eGKmZOipBIRah43T2Kjn8Q
366,92,ChIJD68YoJWipBIRWzQhzWcsALI
367,92,ChIJdWd8mMSjpBIRlU7wI7x356s
368,92,ChIJbf9sA-yipBIRBsaWQtiGMLs
369,93,ChIJM5FFbvKipBIRdWugDh577Ao
370,93,ChIJmcQFU8mjpBIRlChkxov5sC0
371,93,ChIJzyCpuvOipBIR81q13eFJsyw
372,93,ChIJMSlpOfGipBIRf5cyHKdpsHg
373,94,ChIJM5FFbvKipBIRdWugDh577Ao
374,94,ChIJmcQFU8mjpBIRlChkxov5sC0
375,94,ChIJzyCpuvOipBIR81q13eFJsyw
376,94,ChIJMSlpOfGipBIRf5cyHKdpsHg
377,95,ChIJM5FFbvKipBIRdWugDh577Ao
378,95,ChIJmcQFU8mjpBIRlChkxov5sC0
379,95,ChIJzyCpuvOipBIR81q13eFJsyw
380,95,ChIJMSlpOfGipBIRf5cyHKdpsHg
